Time,UHR_MAER_EnKF,UHR_MAE_EnKF,UHR_SSIMLoss_EnKF_Gauss_11,UHR_SSIMLoss_EnKF_Rect_11,UHR_SSIMLoss_EnKF_Gauss_21,UHR_SSIMLoss_EnKF_Rect_21,UHR_SSIMLoss_EnKF_Gauss_31,UHR_SSIMLoss_EnKF_Rect_31,UHR_SSIMLoss_EnKF_Gauss_51,UHR_SSIMLoss_EnKF_Rect_51,UHR_SSIMLoss_EnKF_Gauss_71,UHR_SSIMLoss_EnKF_Rect_71,UHR_MAER_EnKF(HR),UHR_MAE_EnKF(HR),UHR_SSIMLoss_EnKF(HR)_Gauss_11,UHR_SSIMLoss_EnKF(HR)_Rect_11,UHR_SSIMLoss_EnKF(HR)_Gauss_21,UHR_SSIMLoss_EnKF(HR)_Rect_21,UHR_SSIMLoss_EnKF(HR)_Gauss_31,UHR_SSIMLoss_EnKF(HR)_Rect_31,UHR_SSIMLoss_EnKF(HR)_Gauss_51,UHR_SSIMLoss_EnKF(HR)_Rect_51,UHR_SSIMLoss_EnKF(HR)_Gauss_71,UHR_SSIMLoss_EnKF(HR)_Rect_71,UHR_MAER_SRDA,UHR_MAE_SRDA,UHR_SSIMLoss_SRDA_Gauss_11,UHR_SSIMLoss_SRDA_Rect_11,UHR_SSIMLoss_SRDA_Gauss_21,UHR_SSIMLoss_SRDA_Rect_21,UHR_SSIMLoss_SRDA_Gauss_31,UHR_SSIMLoss_SRDA_Rect_31,UHR_SSIMLoss_SRDA_Gauss_51,UHR_SSIMLoss_SRDA_Rect_51,UHR_SSIMLoss_SRDA_Gauss_71,UHR_SSIMLoss_SRDA_Rect_71,HR_MAER_EnKF,HR_MAE_EnKF,HR_SSIMLoss_EnKF_Gauss_11,HR_SSIMLoss_EnKF_Rect_11,HR_MAER_EnKF(HR),HR_MAE_EnKF(HR),HR_SSIMLoss_EnKF(HR)_Gauss_11,HR_SSIMLoss_EnKF(HR)_Rect_11,HR_MAER_SRDA,HR_MAE_SRDA,HR_SSIMLoss_SRDA_Gauss_11,HR_SSIMLoss_SRDA_Rect_11,LR_MAER_EnKF,LR_MAE_EnKF,LR_SSIMLoss_EnKF_Gauss_11,LR_SSIMLoss_EnKF_Rect_11,LR_MAER_EnKF(HR),LR_MAE_EnKF(HR),LR_SSIMLoss_EnKF(HR)_Gauss_11,LR_SSIMLoss_EnKF(HR)_Rect_11,LR_MAER_SRDA,LR_MAE_SRDA,LR_SSIMLoss_SRDA_Gauss_11,LR_SSIMLoss_SRDA_Rect_11
0.0,0.25867954,0.534216,0.27178913,0.2796802,0.2943269,0.2793665,0.28742778,0.24986482,0.25626963,0.19720578,0.22335905,0.15469521,0.25115505,0.5186767,0.27191383,0.28054953,0.2953114,0.28162915,0.28906024,0.25189328,0.2584117,0.19726819,0.22494173,0.15319341,,,,,,,,,,,,,0.260803,0.540031,0.20361453,0.12660694,0.25480092,0.5276028,0.20596755,0.12578768,,,,,0.28059894,0.5648656,0.02720666,0.009065509,0.27434602,0.55227804,0.02752304,0.008822739,,,,
0.25,0.081643,0.15927452,0.00035130978,0.0027708411,0.0027580261,0.00725168,0.0046776533,0.009172082,0.007401526,0.009386539,0.008418679,0.008402765,0.046374556,0.09047053,0.00041782856,0.0019193292,0.0020292401,0.0049443245,0.0032319427,0.006264925,0.0050130486,0.0061733723,0.005625963,0.0051495433,,,,,,,,,,,,,0.08144347,0.15854438,0.008774519,0.007068336,0.045706358,0.08897565,0.006483078,0.0043336153,,,,,0.08350316,0.15725896,0.0014788508,0.0007773042,0.04738388,0.08923662,0.0004993677,0.00024074316,,,,
0.5,0.077387005,0.15405849,0.00043010712,0.0021811128,0.001978159,0.0051215887,0.0033208728,0.0065718293,0.005276382,0.006954968,0.006092787,0.0063105226,0.038968503,0.077576704,0.00023412704,0.0011057854,0.0011723638,0.0026996732,0.0017654896,0.0036271214,0.0028074384,0.003917873,0.0033178926,0.0033768415,,,,,,,,,,,,,0.07715396,0.15325241,0.0061605573,0.0050635934,0.038377248,0.076229475,0.0039250255,0.0028301477,,,,,0.08331416,0.16039471,0.0014560819,0.00082820654,0.041616507,0.080119245,-6.210804e-05,-2.2172928e-05,,,,
0.75,0.077450365,0.15735361,0.00016582012,0.0018416643,0.0017569065,0.004355252,0.0028862357,0.0055440664,0.0044971704,0.005953133,0.005182624,0.005432844,0.036048945,0.07323957,-0.000510931,0.00047671795,0.0009121895,0.001932323,0.0012957454,0.0026430488,0.002024293,0.002993703,0.0024422407,0.0026509762,,,,,,,,,,,,,0.07720371,0.15651451,0.0052215457,0.0046304464,0.035629068,0.07223054,0.0034841895,0.0030668974,,,,,0.08520635,0.16746406,0.0016198754,0.0008928776,0.039339527,0.07731768,0.0003926754,0.00013798475,,,,
1.0,0.08088199,0.1676578,-0.00015103817,0.0016431808,0.001757741,0.0041941404,0.0028310418,0.0053070188,0.0043382645,0.0057837367,0.004976213,0.0053038597,0.08915958,0.18481615,0.00059086084,0.0016527176,0.0016097426,0.003241539,0.0022745132,0.004513383,0.0035296679,0.005604744,0.004419327,0.005453706,0.05473751,0.1134637,0.00041222572,0.0010605454,0.0008409023,0.0015788078,0.0011202693,0.0021252632,0.0016485453,0.002460003,0.0019812584,0.0022531152,0.08060854,0.16675335,0.0054968,0.0049566627,0.08976423,0.18569356,0.0060246587,0.0055522323,0.055187486,0.114165306,0.0015361905,0.0016136765,0.08792469,0.17638712,0.001501441,0.0009483099,0.0932332,0.1870366,0.0033147335,0.0020352602,0.059883054,0.12013235,0.00071156025,0.00050109625
1.25,0.08524233,0.18021569,-4.2915344e-06,0.0018321276,0.0018568635,0.0043210387,0.0029489994,0.0054968596,0.004483402,0.0061089993,0.0051645637,0.005512178,0.0876878,0.1853858,0.00015860796,0.0013123155,0.0015966892,0.003155589,0.0022254586,0.0043602586,0.003430605,0.0054326653,0.004270911,0.0052807927,0.044386685,0.09384043,-4.1604042e-05,0.0008111596,0.00079381466,0.0014429688,0.0010279417,0.0019574165,0.0015010238,0.0022450686,0.0018059611,0.00200212,0.08489138,0.17914864,0.0051142573,0.004490912,0.08824135,0.1862182,0.0056169033,0.0052312016,0.044698816,0.09432916,0.00046235323,0.0010936856,0.09135019,0.18703651,0.0010967255,0.00097352266,0.091460794,0.18726298,0.0024558902,0.0017776489,0.04872055,0.09975373,0.00027745962,0.00026142597
1.5,0.09044962,0.19495535,0.00051516294,0.0023810267,0.0020587444,0.004732549,0.003235519,0.0060696006,0.0049290657,0.0069047213,0.0057305098,0.0061900616,0.08915455,0.19216396,0.0008625984,0.001862824,0.001738131,0.0034387708,0.0024256706,0.0047752857,0.0037462711,0.005936086,0.0046650767,0.005662918,0.043951172,0.09473247,0.0005515814,0.0012797117,0.000838995,0.0015217066,0.0010778308,0.0020781755,0.0015902519,0.0024120808,0.001906693,0.002108276,0.09018517,0.19407126,0.004605949,0.00478518,0.08973403,0.19310045,0.0038703084,0.0044805408,0.044260077,0.09524414,0.0029125214,0.0021309257,0.09507992,0.19864741,0.0017132163,0.0012655854,0.093779676,0.19593085,0.0030449033,0.0019493103,0.04866743,0.101679295,0.0010091066,0.00053036213
1.75,0.096451625,0.21186754,7.7188015e-05,0.0022557378,0.0023605227,0.005415499,0.0037038922,0.0070924163,0.0057091713,0.00816226,0.0067120194,0.007329583,0.09281091,0.20387027,0.0009900928,0.0022373796,0.0020228624,0.004109204,0.0028642416,0.0057444572,0.004477322,0.0070388913,0.005573809,0.0065754056,0.042880073,0.094191216,-0.00024461746,0.00079262257,0.0009377599,0.001788795,0.0012422204,0.002490878,0.0018827915,0.0028927922,0.0022712946,0.0024878979,0.09614491,0.21088184,0.0061274767,0.00575912,0.093383975,0.20482609,0.006037295,0.005685866,0.04308338,0.094498016,0.0020788312,0.0017849207,0.09981079,0.21270193,0.0025663972,0.0017238855,0.09793523,0.20870502,0.0035156608,0.002260983,0.04826276,0.10285043,0.0009225011,0.00046783686
2.0,0.10389913,0.2325011,0.0006301999,0.002949059,0.0028135777,0.0065630674,0.0044472218,0.008769572,0.0069856644,0.010275066,0.008333504,0.009082794,0.10226917,0.22885366,0.001190126,0.0026555657,0.0024134517,0.0051772594,0.0035235882,0.0073069334,0.0056349635,0.008982301,0.0070245266,0.00826472,0.04811529,0.107670374,0.00027126074,0.0012145042,0.000910759,0.001660645,0.0011835694,0.0022774339,0.0017489791,0.002621889,0.0021016598,0.002255559,0.10355428,0.23144022,0.007789612,0.0071493387,0.10278685,0.22972503,0.0063055158,0.0071142316,0.048394967,0.10816108,0.0010530949,0.0012100339,0.10644869,0.23140186,0.0029300451,0.0021012425,0.10957286,0.23819329,0.004530072,0.0027775168,0.05226633,0.11361837,0.0008150935,0.0005598664
2.25,0.11278989,0.2570268,0.001232028,0.003785789,0.0034431815,0.008094668,0.0054578185,0.010961831,0.008679807,0.012966633,0.010455668,0.011529207,0.10102155,0.23020896,0.0006082058,0.002197504,0.0024591088,0.00522691,0.0035710335,0.007331729,0.005642295,0.0088967085,0.006968379,0.008093536,0.048017807,0.10942348,0.00013369322,0.0009584427,0.00096940994,0.0017861724,0.0012676716,0.0024639368,0.0018957853,0.002830267,0.0022799969,0.002442956,0.112399906,0.25590098,0.01032716,0.009339571,0.101529665,0.23115268,0.006827712,0.0065300465,0.04830071,0.10996627,0.004164934,0.0027918816,0.11593703,0.25721195,0.0042722225,0.0028098822,0.10791576,0.23941638,0.0037103295,0.002434194,0.05321465,0.1180593,0.0010451078,0.0006249547
