Time,UHR_MAER_EnKF,UHR_MAE_EnKF,UHR_SSIMLoss_EnKF_Gauss_11,UHR_SSIMLoss_EnKF_Rect_11,UHR_SSIMLoss_EnKF_Gauss_21,UHR_SSIMLoss_EnKF_Rect_21,UHR_SSIMLoss_EnKF_Gauss_31,UHR_SSIMLoss_EnKF_Rect_31,UHR_SSIMLoss_EnKF_Gauss_51,UHR_SSIMLoss_EnKF_Rect_51,UHR_SSIMLoss_EnKF_Gauss_71,UHR_SSIMLoss_EnKF_Rect_71,UHR_MAER_EnKF(HR),UHR_MAE_EnKF(HR),UHR_SSIMLoss_EnKF(HR)_Gauss_11,UHR_SSIMLoss_EnKF(HR)_Rect_11,UHR_SSIMLoss_EnKF(HR)_Gauss_21,UHR_SSIMLoss_EnKF(HR)_Rect_21,UHR_SSIMLoss_EnKF(HR)_Gauss_31,UHR_SSIMLoss_EnKF(HR)_Rect_31,UHR_SSIMLoss_EnKF(HR)_Gauss_51,UHR_SSIMLoss_EnKF(HR)_Rect_51,UHR_SSIMLoss_EnKF(HR)_Gauss_71,UHR_SSIMLoss_EnKF(HR)_Rect_71,UHR_MAER_SRDA,UHR_MAE_SRDA,UHR_SSIMLoss_SRDA_Gauss_11,UHR_SSIMLoss_SRDA_Rect_11,UHR_SSIMLoss_SRDA_Gauss_21,UHR_SSIMLoss_SRDA_Rect_21,UHR_SSIMLoss_SRDA_Gauss_31,UHR_SSIMLoss_SRDA_Rect_31,UHR_SSIMLoss_SRDA_Gauss_51,UHR_SSIMLoss_SRDA_Rect_51,UHR_SSIMLoss_SRDA_Gauss_71,UHR_SSIMLoss_SRDA_Rect_71,HR_MAER_EnKF,HR_MAE_EnKF,HR_SSIMLoss_EnKF_Gauss_11,HR_SSIMLoss_EnKF_Rect_11,HR_MAER_EnKF(HR),HR_MAE_EnKF(HR),HR_SSIMLoss_EnKF(HR)_Gauss_11,HR_SSIMLoss_EnKF(HR)_Rect_11,HR_MAER_SRDA,HR_MAE_SRDA,HR_SSIMLoss_SRDA_Gauss_11,HR_SSIMLoss_SRDA_Rect_11,LR_MAER_EnKF,LR_MAE_EnKF,LR_SSIMLoss_EnKF_Gauss_11,LR_SSIMLoss_EnKF_Rect_11,LR_MAER_EnKF(HR),LR_MAE_EnKF(HR),LR_SSIMLoss_EnKF(HR)_Gauss_11,LR_SSIMLoss_EnKF(HR)_Rect_11,LR_MAER_SRDA,LR_MAE_SRDA,LR_SSIMLoss_SRDA_Gauss_11,LR_SSIMLoss_SRDA_Rect_11
0.0,0.25805706,0.53286535,0.27164215,0.27896953,0.29372358,0.2788056,0.28686488,0.2495811,0.25591373,0.19712925,0.22321773,0.15458357,0.25086048,0.518005,0.27203047,0.28026956,0.2949981,0.28169268,0.28896993,0.2522354,0.2586879,0.19777799,0.22546542,0.15350091,,,,,,,,,,,,,0.26159784,0.542821,0.20356631,0.12542099,0.25398973,0.527034,0.20405471,0.123149574,,,,,0.2624625,0.54203385,0.022512078,0.008276343,0.2477434,0.5116362,0.020517468,0.007299304,,,,
0.25,0.08199873,0.15995915,0.0004976988,0.0029238462,0.0028389692,0.007491231,0.004829049,0.009451926,0.007639289,0.009578049,0.008665323,0.0085660815,0.046182234,0.090090066,0.00084233284,0.002307415,0.002104044,0.0051781535,0.003368616,0.006537378,0.005242884,0.0063673854,0.0058804154,0.0052808523,,,,,,,,,,,,,0.08187006,0.15935828,0.008508205,0.006785929,0.04546774,0.08850197,0.0060010552,0.0039978027,,,,,0.08559598,0.1618473,0.0017931461,0.0008930564,0.048504423,0.091713525,0.000918448,0.00027769804,,,,
0.5,0.07753492,0.15433829,0.00060606,0.0023533702,0.0020239353,0.0052433014,0.0034054518,0.006709218,0.005408883,0.0070174932,0.0062315464,0.006341815,0.038361117,0.076360285,0.0002605319,0.0011846423,0.0012023449,0.0027601123,0.0018138885,0.0036491156,0.0028398037,0.003839016,0.0033129454,0.003313005,,,,,,,,,,,,,0.077352695,0.1536291,0.0056288242,0.0048503876,0.037781168,0.075036645,0.0015274286,0.0014767051,,,,,0.08323512,0.16016133,0.0015254021,0.0008724332,0.03977602,0.07653717,0.000674963,0.00022733212,,,,
0.75,0.07769944,0.15784194,0.000326097,0.001982987,0.0017681122,0.004394412,0.0029110312,0.0055862665,0.004531145,0.0059437156,0.005212724,0.0054297447,0.035873543,0.07287504,-7.104874e-05,0.0007457137,0.0008969307,0.0018825531,0.0012698174,0.0025473833,0.0019619465,0.0028144121,0.002335906,0.00249362,,,,,,,,,,,,,0.077499904,0.15709165,0.003667295,0.003668666,0.0355618,0.07208347,0.0016294122,0.0013972521,,,,,0.08506848,0.16708687,0.001557827,0.0008434653,0.03833248,0.07529057,0.000523746,0.00018376112,,,,
1.0,0.08543283,0.17707163,0.00060141087,0.0022092462,0.0019481182,0.0048460364,0.0032050014,0.0063596964,0.0050842166,0.0072794557,0.006007135,0.006763637,0.07378834,0.15293677,0.00025600195,0.0015230179,0.0017258525,0.003917873,0.0025847554,0.0056183934,0.0043016076,0.0070065856,0.0054731965,0.006657362,0.034937337,0.07241258,0.00027269125,0.0010472536,0.000790596,0.001511097,0.0010531545,0.0020226836,0.0015673041,0.002188146,0.0018524528,0.0018861294,0.085353084,0.17653151,0.0054983497,0.0055019855,0.073224805,0.1514472,0.0074768066,0.0064439178,0.035053566,0.072499536,0.0026102066,0.002020359,0.09075172,0.18188144,0.0020946264,0.0011742711,0.075864725,0.15204544,0.0023160577,0.00097602606,0.040491078,0.08115081,0.0007240176,0.00026208162
1.25,0.08635258,0.18254347,5.853176e-05,0.0018720031,0.001940012,0.0046806335,0.0031340718,0.0060711503,0.0048708916,0.0069200397,0.0056937337,0.00638777,0.07256739,0.15340252,-3.683567e-05,0.0012648106,0.0016813874,0.0037397742,0.0024850965,0.0053135157,0.0040680766,0.006556332,0.0051350594,0.006159425,0.03693445,0.078076914,-0.00040137768,0.00053954124,0.0007997751,0.0015152693,0.0010554194,0.0020467043,0.0015751123,0.002342999,0.0018855333,0.002042234,0.08617472,0.18179086,0.008303821,0.0066205263,0.07196919,0.15182343,0.0047991276,0.005097151,0.036970228,0.077990964,0.0017404556,0.0015693307,0.09145736,0.18697622,0.0016986728,0.0011684299,0.07419578,0.1516865,0.001967907,0.00089275837,0.043225903,0.08837142,0.00021183491,0.00021594763
1.5,0.08928767,0.19243364,-0.00026345253,0.0017822385,0.00209558,0.004963815,0.0033493042,0.0064703226,0.005186558,0.007441163,0.0060947537,0.0068347454,0.07723612,0.16646004,0.00059890747,0.0020070672,0.0018883944,0.0042000413,0.0027993917,0.0059078336,0.004535258,0.0071208477,0.0056224465,0.0065521,0.042437993,0.09146277,0.0001745224,0.0011101365,0.00088971853,0.0017268062,0.001190126,0.0023953915,0.0017995238,0.0027424097,0.0021637678,0.0023601651,0.089122996,0.19169767,0.00750345,0.0059629083,0.07673895,0.16506042,0.005511701,0.0053937435,0.0425343,0.091488466,0.0016341209,0.0018932819,0.09435863,0.1967417,0.0020510554,0.0013679266,0.079672925,0.1661214,0.0024189353,0.0011782646,0.048404742,0.10092592,0.0006200075,0.00040197372
1.75,0.09424923,0.20701422,0.0001784563,0.0022642612,0.002352059,0.005520165,0.0037392378,0.007270634,0.0058216453,0.00848794,0.0069016814,0.007742405,0.086142935,0.1892091,0.0004813671,0.0021992922,0.0023884177,0.0054686666,0.0036167502,0.00770092,0.005903542,0.009117663,0.007264018,0.0082730055,0.04674834,0.10268064,-0.00071275234,0.00045996904,0.0010458231,0.0021550655,0.0014491081,0.0030454397,0.0022679567,0.0035421848,0.0027428865,0.0030351877,0.09402288,0.20614651,0.006610334,0.006036401,0.085757345,0.18802421,0.0069636703,0.0067836046,0.0466252,0.10222643,0.004549563,0.0033512712,0.09979039,0.21225789,0.0026159883,0.0017840266,0.090098426,0.19164273,0.0031140447,0.0016506314,0.052687287,0.11206784,0.00092071295,0.00054425
2.0,0.105387524,0.23581962,0.00069862604,0.003165245,0.0031176805,0.007586956,0.005052626,0.010386109,0.008186579,0.012564063,0.009985566,0.0114091635,0.101353295,0.22679247,0.00061523914,0.0025978684,0.002870202,0.006801009,0.004423797,0.009841323,0.0074454546,0.011968672,0.009326696,0.010858297,0.0466282,0.10433725,-0.000682354,0.00044733286,0.00092446804,0.0017239451,0.00122118,0.0023841858,0.0018185377,0.002810359,0.0021914244,0.0024924874,0.10521051,0.2350725,0.01053232,0.0093743205,0.10103481,0.2257427,0.009655535,0.009627938,0.046888545,0.10476337,0.0015220046,0.002060175,0.11034229,0.23945898,0.004003167,0.002543509,0.105825864,0.22965768,0.004081726,0.0021517277,0.05222194,0.113329284,0.0011188388,0.00052440166
2.25,0.109489776,0.24949789,0.0014821887,0.0039456487,0.0034055114,0.00821358,0.0054840446,0.011247098,0.008854866,0.013655663,0.010816693,0.012481272,0.098533295,0.224531,0.0004453063,0.0024155378,0.002724111,0.006383419,0.0041564703,0.009197235,0.006949544,0.011115849,0.008651555,0.010029972,0.056716036,0.12924066,-5.4240227e-05,0.0010176301,0.0011755824,0.0024077892,0.0016367435,0.0034083724,0.0025593042,0.0040769577,0.003123641,0.0035868883,0.10931017,0.24880964,0.014263928,0.011691153,0.09824684,0.22362751,0.007564366,0.0076887608,0.05690734,0.12953135,0.0020198226,0.0024822354,0.114371695,0.25324926,0.004823327,0.0030283928,0.10236316,0.22665918,0.0038889647,0.0020296574,0.06149337,0.13616262,0.0017687678,0.0009873509
