Time,UHR_MAER_EnKF,UHR_MAE_EnKF,UHR_SSIMLoss_EnKF,UHR_MAER_EnKF(HR),UHR_MAE_EnKF(HR),UHR_SSIMLoss_EnKF(HR),UHR_MAER_SRDA,UHR_MAE_SRDA,UHR_SSIMLoss_SRDA,HR_MAER_EnKF,HR_MAE_EnKF,HR_SSIMLoss_EnKF,HR_MAER_EnKF(HR),HR_MAE_EnKF(HR),HR_SSIMLoss_EnKF(HR),HR_MAER_SRDA,HR_MAE_SRDA,HR_SSIMLoss_SRDA,LR_MAER_EnKF,LR_MAE_EnKF,LR_SSIMLoss_EnKF,LR_MAER_EnKF(HR),LR_MAE_EnKF(HR),LR_SSIMLoss_EnKF(HR),LR_MAER_SRDA,LR_MAE_SRDA,LR_SSIMLoss_SRDA
0.0,0.25900048,0.5349492,0.27379453,0.25160697,0.51967835,0.27400428,,,,0.2645332,0.5479961,0.20661443,0.25624365,0.5308238,0.20849043,,,,0.26580626,0.5345893,0.024321377,0.26205832,0.52705145,0.022521079,,,
0.25,0.08107267,0.15812795,0.0008082986,0.044930678,0.087634906,0.00083094835,,,,0.08084346,0.15732692,0.007824957,0.044124715,0.08586972,0.004728794,,,,0.08260951,0.15544923,0.0019993186,0.046598382,0.087685816,0.0003708005,,,
0.5,0.07691888,0.15310383,0.00051897764,0.03650123,0.07265418,2.3543835e-05,,,,0.07664999,0.15222397,0.0048710704,0.035713084,0.070924826,0.002467692,,,,0.08206849,0.1578187,0.001132071,0.03877575,0.074566245,0.0006957054,,,
0.75,0.07708681,0.15660022,0.00038403273,0.033145104,0.06733358,-0.00029277802,,,,0.076831974,0.15575059,0.006074846,0.032649357,0.06618542,0.0015949011,,,,0.08424738,0.16546382,0.0014448762,0.036255363,0.07120638,0.0004962683,,,
1.0,0.07933726,0.16444543,0.00033026934,0.18600205,0.38553366,0.0041303635,0.038224097,0.07922857,0.00035572052,0.07905464,0.163538,0.0038592815,0.18460098,0.3818786,0.022218108,0.0384749,0.079591885,0.0004982352,0.0858089,0.17211145,0.0015243888,0.18305203,0.36715713,0.014006436,0.042725034,0.085695855,0.0005990267
1.25,0.08343984,0.176396,0.00031089783,0.18181254,0.3843608,0.00399673,0.039138965,0.08274172,-0.00018179417,0.08315176,0.17548886,0.004703939,0.180392,0.38071096,0.018642128,0.039303742,0.08294916,2.0205975e-05,0.089049846,0.18241456,0.0017208457,0.18466753,0.37828302,0.013005972,0.04335142,0.08880341,0.0004823208
1.5,0.08819422,0.19008882,9.0777874e-05,0.1832104,0.3948813,0.004230678,0.04512411,0.09725795,-0.00030982494,0.08786833,0.18911406,0.005500436,0.18195496,0.39161143,0.019951046,0.0453615,0.097628996,0.0011678934,0.09293396,0.19433281,0.0018656254,0.19004185,0.39739367,0.013443649,0.049509443,0.103528455,0.0006020665
1.75,0.093569525,0.20553416,6.568432e-05,0.18954782,0.41635942,0.0048953295,0.04506307,0.098985225,-0.00014340878,0.093278736,0.20467582,0.006757319,0.18811086,0.41276017,0.025851667,0.045198344,0.09917597,0.0022181869,0.097444855,0.20806444,0.0022652745,0.19569169,0.4178413,0.015042007,0.050229006,0.107249066,0.0008019805
2.0,0.103745006,0.23215578,-0.00044119358,0.18419932,0.41219273,0.005678177,0.044504367,0.09958982,0.00043094158,0.10356291,0.23160362,0.008288801,0.182761,0.40871882,0.022116244,0.044769444,0.100120455,0.0021768212,0.10783378,0.23519848,0.0030756593,0.1903367,0.4151473,0.015388906,0.049267907,0.10745925,0.0005298853
2.25,0.1077798,0.24561231,0.0006172657,0.18315393,0.41737747,0.0060090423,0.047590155,0.10845008,5.555153e-05,0.10749245,0.2449145,0.0085250735,0.18153617,0.41361827,0.024057686,0.04787053,0.10906987,0.0015977025,0.11159815,0.24878712,0.0038086176,0.18356155,0.409216,0.01634258,0.051664084,0.115175374,0.0008139014
2.5,0.113667384,0.26368132,0.0006042719,0.19380093,0.44957212,0.0064002275,0.054490417,0.12640482,-0.00011527538,0.113344625,0.26295063,0.010090888,0.19239506,0.44634143,0.027708113,0.054711387,0.12692612,0.0021181703,0.1174005,0.2676786,0.0043857694,0.1957614,0.4463451,0.017126441,0.057959173,0.1321496,0.001481235
2.75,0.122117124,0.2882601,0.0014711618,0.2143834,0.5060566,0.007933021,0.053433143,0.12613009,0.00042307377,0.121784285,0.28743088,0.013626814,0.21298625,0.50268245,0.035014212,0.053601217,0.12650765,0.0031564832,0.12611811,0.29431704,0.0052857995,0.21668708,0.5056744,0.020725787,0.056467883,0.13177696,0.0014113188
3.0,0.13718688,0.3293896,0.0018274784,0.1737908,0.41727665,0.0065313578,0.063051656,0.15138881,0.00016891956,0.13693027,0.32867205,0.021667838,0.17250523,0.41406217,0.022151947,0.06332104,0.15198871,0.0042621493,0.14192797,0.33931795,0.008123517,0.17304745,0.41371766,0.012784481,0.064525224,0.15426534,0.0024921298
3.25,0.1426351,0.3481889,0.0019657016,0.18605523,0.45418245,0.0068646073,0.08070962,0.19702157,0.0009589195,0.14241971,0.34753668,0.023354352,0.1845441,0.45032984,0.028181016,0.08099525,0.19764695,0.006119728,0.14545774,0.35608315,0.008251965,0.18755245,0.45913175,0.013978481,0.081048466,0.1984081,0.0030705929
3.5,0.15439795,0.38298053,0.0037668347,0.21194345,0.52572083,0.009170413,0.09652222,0.23942113,0.002066791,0.15433533,0.3828202,0.031628907,0.21047595,0.52207386,0.039571404,0.09680092,0.24010928,0.0139424205,0.15506913,0.38724557,0.01073432,0.20967343,0.5236059,0.020567298,0.09842901,0.24580133,0.0064937472
3.75,0.1768191,0.44532037,0.005546272,0.26299167,0.66234666,0.014392793,0.11598402,0.29210672,0.0042586923,0.17684099,0.44542214,0.0449844,0.26157573,0.65884966,0.060561657,0.11600596,0.29219258,0.021169484,0.1788436,0.45137832,0.014670432,0.26300842,0.66379946,0.034264266,0.116140075,0.29312265,0.011815131
4.0,0.19163209,0.4894697,0.008523047,0.25763518,0.65805584,0.02034688,0.08048272,0.20557022,0.0018869638,0.19167317,0.48959598,0.064900756,0.25547293,0.65256137,0.07712793,0.08084875,0.20651415,0.010742664,0.19061603,0.48565108,0.018051922,0.2583535,0.65823245,0.046119213,0.08206319,0.20908041,0.0034516454
4.25,0.23631616,0.61116064,0.014012158,0.33886787,0.8763798,0.03442353,0.09467182,0.24484017,0.0038699508,0.23623107,0.6109521,0.09767109,0.33703437,0.87165433,0.13086098,0.095033765,0.24578086,0.01592362,0.23812233,0.61774874,0.030232847,0.34124166,0.885266,0.07984084,0.09786417,0.25388408,0.0062358975
4.5,0.2948626,0.7704997,0.024017036,0.44058177,1.1512756,0.060067415,0.11472274,0.29977977,0.006412983,0.2949425,0.7707196,0.14713663,0.43850553,1.1458668,0.21885753,0.11511197,0.3008012,0.025048912,0.29587004,0.773593,0.05591917,0.43285272,1.1317531,0.13912898,0.112098575,0.29309717,0.0087964535
4.75,0.3646479,0.96022004,0.038078427,0.50341725,1.3256385,0.07550746,0.14349645,0.37786633,0.01169771,0.36472833,0.96045613,0.21036452,0.50123626,1.3199288,0.28009272,0.14401065,0.37922996,0.04409319,0.3551344,0.9384411,0.0915283,0.5075371,1.3411646,0.18687767,0.1425639,0.37672448,0.017089486
5.0,0.40418428,1.0687373,0.049618125,0.5115209,1.352555,0.08904415,0.16910405,0.4471421,0.019878447,0.40407062,1.0684309,0.2639867,0.5076262,1.3422494,0.28699,0.16952519,0.4482532,0.06838447,0.40411866,1.066183,0.10359365,0.52381957,1.3819889,0.19952929,0.16855054,0.44468552,0.030813098
5.25,0.45314318,1.1976157,0.058722258,0.5276323,1.3944837,0.098801196,0.17912915,0.47342187,0.020965636,0.4533362,1.1978806,0.31782138,0.5243979,1.3856517,0.32335383,0.17993882,0.4754644,0.072003186,0.45343292,1.2031184,0.12886816,0.52487653,1.3926837,0.21183258,0.18217431,0.48337308,0.031178951
5.5,0.50576544,1.3308756,0.065196276,0.52781016,1.3888843,0.094652176,0.18736853,0.49304318,0.022328079,0.50618416,1.3320087,0.373267,0.5245037,1.3802161,0.34739083,0.18802567,0.49478403,0.08143449,0.5057295,1.3340751,0.14720786,0.54235226,1.4306831,0.21206689,0.18952079,0.4999411,0.032302618
5.75,0.5092206,1.3303307,0.061915755,0.5189715,1.3558048,0.0849511,0.21721889,0.56748086,0.026045442,0.50961775,1.3320204,0.37261868,0.5158663,1.3483527,0.35505944,0.21764514,0.568873,0.10291672,0.50211316,1.3100245,0.14536566,0.53384477,1.392813,0.19977975,0.21511365,0.5612363,0.03763503
6.0,0.5031649,1.3014282,0.059743047,0.47787952,1.236028,0.07829559,0.2640951,0.6830779,0.03064406,0.5030312,1.3016696,0.34820414,0.47487786,1.2288187,0.3378756,0.26454872,0.68456,0.13132042,0.5023627,1.3198979,0.1337378,0.4752183,1.2485791,0.17543608,0.2592135,0.6810524,0.042176187
