Time,UHR_MAER_EnKF,UHR_MAE_EnKF,UHR_SSIMLoss_EnKF,UHR_MAER_EnKF(HR),UHR_MAE_EnKF(HR),UHR_SSIMLoss_EnKF(HR),UHR_MAER_SRDA,UHR_MAE_SRDA,UHR_SSIMLoss_SRDA,HR_MAER_EnKF,HR_MAE_EnKF,HR_SSIMLoss_EnKF,HR_MAER_EnKF(HR),HR_MAE_EnKF(HR),HR_SSIMLoss_EnKF(HR),HR_MAER_SRDA,HR_MAE_SRDA,HR_SSIMLoss_SRDA,LR_MAER_EnKF,LR_MAE_EnKF,LR_SSIMLoss_EnKF,LR_MAER_EnKF(HR),LR_MAE_EnKF(HR),LR_SSIMLoss_EnKF(HR),LR_MAER_SRDA,LR_MAE_SRDA,LR_SSIMLoss_SRDA
0.0,0.25922865,0.5356895,0.2728945,0.25154236,0.51980597,0.27332562,,,,0.2641101,0.546712,0.20763892,0.25709608,0.5321929,0.21173126,,,,0.25883564,0.52956283,0.02420044,0.2503739,0.5122506,0.02318436,,,
0.25,0.08264416,0.16129817,0.0002964735,0.04614816,0.090068236,0.0006560087,,,,0.08245369,0.16058335,0.010122895,0.045412038,0.08844258,0.0060721636,,,,0.08588457,0.16208696,0.0016001463,0.04950888,0.09343639,0.0004761815,,,
0.5,0.07854383,0.15641037,3.1411648e-05,0.038310304,0.07629026,0.00010210276,,,,0.07833698,0.15565492,0.00830102,0.037648387,0.07480703,0.0038811564,,,,0.08439079,0.16250984,0.0014941096,0.04080047,0.07856874,0.0005245209,,,
0.75,0.07892224,0.16038321,-0.0002617836,0.035687376,0.07252272,1.1444092e-05,,,,0.0786667,0.15952717,0.0063534975,0.035238296,0.07145928,0.0027028918,,,,0.08653732,0.17008881,0.0016672611,0.03933144,0.077305816,0.0006913543,,,
1.0,0.08264866,0.17135572,7.5519085e-05,0.19203362,0.39814392,0.00441581,0.039337907,0.08155941,-0.00016200542,0.08240517,0.17050436,0.008038104,0.1907152,0.39460838,0.023421407,0.039504074,0.08173779,0.0014775395,0.08984366,0.18022211,0.0017223358,0.19240451,0.3859543,0.015542209,0.044561304,0.08938786,0.0005181432
1.25,0.08691582,0.18378825,0.00042963028,0.18573497,0.39274675,0.003937781,0.04050724,0.085654765,0.00018703938,0.08669372,0.18296687,0.006118417,0.18447396,0.38933182,0.023640633,0.040690944,0.085878134,0.001383841,0.09355021,0.19149046,0.0016960502,0.18711634,0.3830135,0.0145763755,0.045309726,0.0927457,0.00069761276
1.5,0.092234924,0.19884065,0.00032109022,0.18230975,0.39302453,0.0034941435,0.04496309,0.096931726,4.9352646e-05,0.09201335,0.19800295,0.0046797395,0.18085286,0.38917613,0.02252394,0.04516321,0.097186424,0.0008610487,0.09768505,0.2039319,0.0016998053,0.18610574,0.3885231,0.013522446,0.049603257,0.10355409,0.0007864833
1.75,0.09914494,0.21782334,0.00057667494,0.18233381,0.40059087,0.0037887096,0.043360874,0.095264666,-0.00051510334,0.09888446,0.21690463,0.0069652796,0.18102175,0.39707407,0.022390306,0.043499406,0.095416635,0.002907753,0.103426605,0.22026758,0.0025771856,0.185362,0.39476535,0.013023794,0.048370663,0.103014976,0.000785172
2.0,0.11166024,0.24991252,-0.0002104044,0.17696916,0.39608374,0.0038757324,0.046476573,0.1040216,-5.9247017e-05,0.11150032,0.24923307,0.009343207,0.17548686,0.3922601,0.021971583,0.046715204,0.10442098,0.001167655,0.11537546,0.25070027,0.003979981,0.18370658,0.39917752,0.014150739,0.051075812,0.110983044,0.0015938878
2.25,0.116216324,0.26488113,0.00035643578,0.17073287,0.38913566,0.004128039,0.050941695,0.116106704,0.00045913458,0.11596979,0.2640712,0.011735082,0.16943642,0.38581842,0.021299303,0.05119924,0.11658419,0.0030200481,0.11889257,0.26370218,0.0044643283,0.17710485,0.39281625,0.013165057,0.054031424,0.119841,0.0012267828
2.5,0.12489575,0.28977653,0.0009046793,0.1675608,0.38876575,0.004887998,0.06103525,0.14161077,0.0005671382,0.12466999,0.28908628,0.013256848,0.16619702,0.38537967,0.021255672,0.06124563,0.14201711,0.0028572679,0.12795216,0.28979164,0.0058063865,0.17177163,0.3890359,0.01338613,0.06515782,0.1475723,0.0016867518
2.75,0.13985515,0.3301943,0.00080013275,0.1686172,0.39810076,0.003929496,0.071028985,0.16769756,0.0004503131,0.13955532,0.32937694,0.019304931,0.1671523,0.394511,0.0218305,0.07111804,0.16785201,0.00562793,0.14476311,0.33500603,0.008983374,0.17004743,0.39351815,0.013195157,0.07654066,0.17712787,0.0032239556
3.0,0.1364888,0.3277976,0.0012674332,0.14821577,0.35596162,0.00367409,0.063419215,0.15231043,0.00081020594,0.1362629,0.32711282,0.01858908,0.14669734,0.35216177,0.02018547,0.06373853,0.15301079,0.0044808984,0.14006262,0.3314022,0.0073432922,0.14872262,0.35189265,0.009731054,0.06706159,0.15867445,0.0017175078
3.25,0.14768815,0.36066902,0.0020968318,0.14653254,0.3578469,0.004006624,0.07597483,0.18553802,0.0013359785,0.14746803,0.36004585,0.021595538,0.14508456,0.3542266,0.018906713,0.07621898,0.18609,0.005935192,0.14991337,0.36273122,0.00930649,0.14721626,0.35620528,0.008482218,0.07801549,0.18876672,0.0029569268
3.5,0.16773292,0.41635078,0.003561914,0.145963,0.3623129,0.0032783747,0.08742162,0.21700008,0.0012273788,0.16759692,0.4159138,0.031193852,0.14462687,0.3589106,0.017708063,0.08766969,0.21756387,0.0076901913,0.16714698,0.41328776,0.013462484,0.1476397,0.36505404,0.008577228,0.087739006,0.21694353,0.0044289827
3.75,0.19940542,0.5028554,0.006648183,0.14883536,0.37532914,0.00416404,0.08879919,0.2239315,0.0016348362,0.19937007,0.5026899,0.052223504,0.1473298,0.37147602,0.021024883,0.089024305,0.22446507,0.013250053,0.19340181,0.48803172,0.02191621,0.14916956,0.3764157,0.010355115,0.08909751,0.22482938,0.00488168
4.0,0.16223544,0.41537532,0.0059281588,0.1615385,0.4135909,0.00737834,0.077445686,0.19828607,0.001068294,0.16227876,0.41545245,0.052437186,0.15997748,0.40956092,0.0361346,0.07769541,0.19890927,0.011943638,0.16340083,0.41863745,0.013850033,0.16613269,0.42563653,0.016399026,0.07758394,0.19877219,0.0032821894
