Time,UHR_MAER_EnKF,UHR_MAE_EnKF,UHR_SSIMLoss_EnKF_Gauss_11,UHR_SSIMLoss_EnKF_Rect_11,UHR_SSIMLoss_EnKF_Gauss_21,UHR_SSIMLoss_EnKF_Rect_21,UHR_SSIMLoss_EnKF_Gauss_31,UHR_SSIMLoss_EnKF_Rect_31,UHR_SSIMLoss_EnKF_Gauss_51,UHR_SSIMLoss_EnKF_Rect_51,UHR_SSIMLoss_EnKF_Gauss_71,UHR_SSIMLoss_EnKF_Rect_71,UHR_MAER_EnKF(HR),UHR_MAE_EnKF(HR),UHR_SSIMLoss_EnKF(HR)_Gauss_11,UHR_SSIMLoss_EnKF(HR)_Rect_11,UHR_SSIMLoss_EnKF(HR)_Gauss_21,UHR_SSIMLoss_EnKF(HR)_Rect_21,UHR_SSIMLoss_EnKF(HR)_Gauss_31,UHR_SSIMLoss_EnKF(HR)_Rect_31,UHR_SSIMLoss_EnKF(HR)_Gauss_51,UHR_SSIMLoss_EnKF(HR)_Rect_51,UHR_SSIMLoss_EnKF(HR)_Gauss_71,UHR_SSIMLoss_EnKF(HR)_Rect_71,UHR_MAER_SRDA,UHR_MAE_SRDA,UHR_SSIMLoss_SRDA_Gauss_11,UHR_SSIMLoss_SRDA_Rect_11,UHR_SSIMLoss_SRDA_Gauss_21,UHR_SSIMLoss_SRDA_Rect_21,UHR_SSIMLoss_SRDA_Gauss_31,UHR_SSIMLoss_SRDA_Rect_31,UHR_SSIMLoss_SRDA_Gauss_51,UHR_SSIMLoss_SRDA_Rect_51,UHR_SSIMLoss_SRDA_Gauss_71,UHR_SSIMLoss_SRDA_Rect_71,HR_MAER_EnKF,HR_MAE_EnKF,HR_SSIMLoss_EnKF_Gauss_11,HR_SSIMLoss_EnKF_Rect_11,HR_MAER_EnKF(HR),HR_MAE_EnKF(HR),HR_SSIMLoss_EnKF(HR)_Gauss_11,HR_SSIMLoss_EnKF(HR)_Rect_11,HR_MAER_SRDA,HR_MAE_SRDA,HR_SSIMLoss_SRDA_Gauss_11,HR_SSIMLoss_SRDA_Rect_11,LR_MAER_EnKF,LR_MAE_EnKF,LR_SSIMLoss_EnKF_Gauss_11,LR_SSIMLoss_EnKF_Rect_11,LR_MAER_EnKF(HR),LR_MAE_EnKF(HR),LR_SSIMLoss_EnKF(HR)_Gauss_11,LR_SSIMLoss_EnKF(HR)_Rect_11,LR_MAER_SRDA,LR_MAE_SRDA,LR_SSIMLoss_SRDA_Gauss_11,LR_SSIMLoss_SRDA_Rect_11
0.0,0.2577598,0.5321465,0.27121347,0.2785654,0.29341763,0.2783925,0.28649294,0.24894452,0.25536817,0.19653058,0.22255641,0.1540665,0.25040352,0.5169594,0.27145928,0.27964294,0.29456627,0.2810402,0.2883742,0.25134623,0.25782722,0.19694275,0.22445768,0.15288496,,,,,,,,,,,,,0.2618573,0.5397643,0.20468926,0.12619102,0.2555583,0.52678025,0.20617771,0.12441599,,,,,0.27928308,0.57026774,0.027412176,0.009327948,0.27044055,0.55221224,0.025533795,0.008462131,,,,
0.25,0.082048945,0.16009389,0.00053572655,0.0028767586,0.0027641654,0.0073149204,0.0047035813,0.009254038,0.0074467063,0.009421885,0.008436382,0.008410871,0.046290904,0.0903228,0.0008762479,0.0023169518,0.0020995736,0.005178213,0.0033581853,0.006577134,0.005207896,0.006459236,0.0058202147,0.0053168535,,,,,,,,,,,,,0.08181515,0.1592939,0.0070277452,0.0060244203,0.04552971,0.088646226,0.0054811835,0.0039207935,,,,,0.08541057,0.16141872,0.0016856194,0.00080925226,0.048083656,0.090874024,0.0012168884,0.0004131198,,,,
0.5,0.07810649,0.15551578,4.2319298e-05,0.001905024,0.0019770265,0.0051273108,0.003319621,0.006593585,0.0052796006,0.006937921,0.0060929656,0.0063105226,0.03886169,0.077376485,0.00025767088,0.0011299253,0.0011969209,0.002794087,0.0018108487,0.0037730932,0.0028742552,0.004101634,0.0034021735,0.0034800768,,,,,,,,,,,,,0.07787508,0.15474646,0.006409645,0.0055659413,0.03813855,0.07578555,0.0029333234,0.002225101,,,,,0.08439099,0.1628029,0.0014891028,0.00082981586,0.0420421,0.08110553,0.0004005432,0.00018692017,,,,
0.75,0.078034736,0.15856533,-0.00024306774,0.0015267134,0.0017709732,0.0044003725,0.0029093623,0.00561136,0.0045413375,0.0059757233,0.005221784,0.005448997,0.036353312,0.07386934,4.053116e-06,0.00076311827,0.0009351373,0.002014041,0.0013329983,0.0027738214,0.0020913482,0.0031492114,0.0025287867,0.0027590394,,,,,,,,,,,,,0.07773487,0.15766987,0.0051450133,0.0043465495,0.03588936,0.0727945,0.002040565,0.0019539595,,,,,0.085414864,0.16821335,0.0012707114,0.00079905987,0.039885163,0.078548595,0.0010710359,0.00040256977,,,,
1.0,0.08101493,0.1679561,-0.00020039082,0.0015980005,0.0017747879,0.004252076,0.0028572083,0.0054131746,0.004404247,0.0059003234,0.0050709248,0.0053489804,0.036113612,0.07486893,-0.00022006035,0.00057142973,0.0008279681,0.001668632,0.0011288524,0.0023279786,0.0017469525,0.0027487874,0.0021347404,0.0024188757,0.0689016,0.14284334,0.0004118681,0.0014466047,0.0013125539,0.002851665,0.0019001961,0.0040405393,0.0030301213,0.0049059987,0.0037291646,0.0044641495,0.08070832,0.16705297,0.005802214,0.0050873756,0.035679717,0.07385116,0.0018057227,0.0017206073,0.068814635,0.142435,0.0034965873,0.0036875606,0.087764025,0.17648597,0.0012976527,0.00090801716,0.03975636,0.07994665,0.000998795,0.00035071373,0.07218574,0.14515938,0.001216352,0.00070023537
1.25,0.0852523,0.18025596,0.00021642447,0.0020347238,0.0018698573,0.004378557,0.0029742718,0.0055835843,0.004549682,0.0061857104,0.005249381,0.0055496097,0.037785776,0.07989358,-0.00050234795,0.00039047003,0.0008023977,0.0015493035,0.0010659099,0.0021699667,0.0016390085,0.0025929213,0.0020073056,0.002309084,0.07767253,0.16422945,-0.00040256977,0.0010460615,0.001467824,0.0032628179,0.002151072,0.0047113895,0.003501892,0.005875647,0.0043585896,0.005403459,0.08497142,0.17941968,0.0057353377,0.004769802,0.037512768,0.07920933,0.0011778474,0.0015261173,0.077618495,0.16389376,0.00454396,0.0047400594,0.09106034,0.18696395,0.0014822483,0.0010940433,0.04220806,0.086661056,0.0008980036,0.00031596422,0.082026795,0.16841638,0.0019468665,0.0011450648
1.5,0.090493076,0.19506742,5.185604e-05,0.002053678,0.0020603538,0.0047535896,0.0032430291,0.0061107874,0.004945874,0.0068662763,0.005738795,0.006141007,0.04166039,0.08980339,-0.00031852722,0.0005865693,0.000844121,0.0016278625,0.0011236072,0.0022853017,0.0017193556,0.00274539,0.002113998,0.0024560094,0.08172585,0.17616874,-0.0002487898,0.0012205839,0.0016323328,0.0037246943,0.002428174,0.0054086447,0.003999412,0.00673151,0.005001068,0.006144285,0.09024479,0.19434494,0.0066586733,0.005750656,0.041597225,0.08958091,0.00050520897,0.001383245,0.08175679,0.17606577,0.0071316957,0.0063197017,0.09545116,0.20018701,0.00212121,0.0014533997,0.04670357,0.09795007,0.00061428547,0.0003143549,0.08653094,0.18147889,0.002476871,0.0013180971
1.75,0.09644973,0.21188006,-0.0003515482,0.0019655228,0.002336979,0.0053882003,0.003668666,0.007024288,0.0056473613,0.00804621,0.0066108108,0.0071532726,0.047566798,0.10449439,-8.535385e-05,0.0008892417,0.00096035004,0.0019006729,0.0013020635,0.0026806593,0.002012074,0.0031955838,0.0024595857,0.0028164983,0.08193746,0.1799996,0.00036132336,0.0017656088,0.0018587708,0.0042743683,0.0027878284,0.0062197447,0.0046123266,0.0076955557,0.005744517,0.0069680214,0.09623269,0.21127787,0.0075396895,0.0064173937,0.0475503,0.10439619,0.0034261942,0.0029304028,0.082154,0.18036824,0.006643653,0.0064760447,0.10036252,0.21495976,0.0024799109,0.0017226934,0.052679267,0.11283019,0.00058311224,0.0005054474,0.08675891,0.18582311,0.0028688908,0.0016384125
2.0,0.09920824,0.22201756,0.0010422468,0.0031909943,0.0028468966,0.007332444,0.004718244,0.010213077,0.007857859,0.012435555,0.009678304,0.0115587115,0.09133263,0.20439278,0.0020565987,0.0050952435,0.004686117,0.010694325,0.0071965456,0.014122486,0.01101011,0.014663756,0.01243943,0.011698186,0.08165149,0.1827274,0.0005686879,0.0017387271,0.0016035438,0.0035327077,0.0023323298,0.0051047206,0.003779292,0.006339669,0.00469023,0.005741,0.09932916,0.22223447,0.00940609,0.009303272,0.09059196,0.20268627,0.010458589,0.008398652,0.081583425,0.18253098,0.0053046346,0.0054699183,0.10208773,0.22332464,0.0044696927,0.002267599,0.09867264,0.21585388,0.0042542815,0.002260983,0.085168734,0.18631306,0.002349496,0.0013535619
2.25,0.0957131,0.21812116,0.00045257807,0.0027185082,0.0028249621,0.0071507692,0.0046551228,0.009818077,0.007620752,0.0116535425,0.009227455,0.010612369,0.08389856,0.19119692,0.0005701184,0.0025835633,0.0028298497,0.006850183,0.00440228,0.009725153,0.00723511,0.010775268,0.00863868,0.008765161,0.08964279,0.20428748,0.0002604127,0.0016090274,0.0019489527,0.004400909,0.0028914213,0.006371498,0.0047280192,0.007844508,0.0058715343,0.007159412,0.09573495,0.21818122,0.010245204,0.009269834,0.08352625,0.19035745,0.009181321,0.006896496,0.089634374,0.20427793,0.006821513,0.0063943863,0.096883096,0.21653312,0.0031761527,0.0018920898,0.09123673,0.20391354,0.0027009249,0.0015238523,0.09435028,0.21087229,0.002408743,0.0015052557
