Time,UHR_MAER_EnKF,UHR_MAE_EnKF,UHR_SSIMLoss_EnKF_Gauss_11,UHR_SSIMLoss_EnKF_Rect_11,UHR_SSIMLoss_EnKF_Gauss_21,UHR_SSIMLoss_EnKF_Rect_21,UHR_SSIMLoss_EnKF_Gauss_31,UHR_SSIMLoss_EnKF_Rect_31,UHR_SSIMLoss_EnKF_Gauss_51,UHR_SSIMLoss_EnKF_Rect_51,UHR_SSIMLoss_EnKF_Gauss_71,UHR_SSIMLoss_EnKF_Rect_71,UHR_MAER_EnKF(HR),UHR_MAE_EnKF(HR),UHR_SSIMLoss_EnKF(HR)_Gauss_11,UHR_SSIMLoss_EnKF(HR)_Rect_11,UHR_SSIMLoss_EnKF(HR)_Gauss_21,UHR_SSIMLoss_EnKF(HR)_Rect_21,UHR_SSIMLoss_EnKF(HR)_Gauss_31,UHR_SSIMLoss_EnKF(HR)_Rect_31,UHR_SSIMLoss_EnKF(HR)_Gauss_51,UHR_SSIMLoss_EnKF(HR)_Rect_51,UHR_SSIMLoss_EnKF(HR)_Gauss_71,UHR_SSIMLoss_EnKF(HR)_Rect_71,UHR_MAER_SRDA,UHR_MAE_SRDA,UHR_SSIMLoss_SRDA_Gauss_11,UHR_SSIMLoss_SRDA_Rect_11,UHR_SSIMLoss_SRDA_Gauss_21,UHR_SSIMLoss_SRDA_Rect_21,UHR_SSIMLoss_SRDA_Gauss_31,UHR_SSIMLoss_SRDA_Rect_31,UHR_SSIMLoss_SRDA_Gauss_51,UHR_SSIMLoss_SRDA_Rect_51,UHR_SSIMLoss_SRDA_Gauss_71,UHR_SSIMLoss_SRDA_Rect_71,HR_MAER_EnKF,HR_MAE_EnKF,HR_SSIMLoss_EnKF_Gauss_11,HR_SSIMLoss_EnKF_Rect_11,HR_MAER_EnKF(HR),HR_MAE_EnKF(HR),HR_SSIMLoss_EnKF(HR)_Gauss_11,HR_SSIMLoss_EnKF(HR)_Rect_11,HR_MAER_SRDA,HR_MAE_SRDA,HR_SSIMLoss_SRDA_Gauss_11,HR_SSIMLoss_SRDA_Rect_11,LR_MAER_EnKF,LR_MAE_EnKF,LR_SSIMLoss_EnKF_Gauss_11,LR_SSIMLoss_EnKF_Rect_11,LR_MAER_EnKF(HR),LR_MAE_EnKF(HR),LR_SSIMLoss_EnKF(HR)_Gauss_11,LR_SSIMLoss_EnKF(HR)_Rect_11,LR_MAER_SRDA,LR_MAE_SRDA,LR_SSIMLoss_SRDA_Gauss_11,LR_SSIMLoss_SRDA_Rect_11
0.0,0.25851902,0.5344863,0.27273983,0.2802418,0.2949742,0.28029817,0.28815854,0.25102025,0.2572891,0.19849455,0.22454274,0.15574682,0.25117725,0.51930726,0.27326828,0.2816702,0.29623634,0.2833923,0.2903059,0.25412536,0.26032692,0.1997025,0.22721756,0.155191,,,,,,,,,,,,,0.26381576,0.5501852,0.20766956,0.12897325,0.25517103,0.5321567,0.20872766,0.12708646,,,,,0.2570066,0.5221109,0.021627307,0.0075802207,0.24903548,0.5059175,0.02180636,0.0071478486,,,,
0.25,0.08230569,0.16060577,7.253885e-05,0.0025823116,0.0028302073,0.007499099,0.004817903,0.009492159,0.007645309,0.009714484,0.008726716,0.008639514,0.048472255,0.09458549,0.00048065186,0.0021250248,0.0022405386,0.00564152,0.003624022,0.007263422,0.005746484,0.0072910786,0.0065778494,0.006016135,,,,,,,,,,,,,0.0820408,0.15973742,0.009858131,0.007927418,0.04771788,0.09290903,0.0055401325,0.0038912296,,,,,0.08230325,0.15524335,0.0014879704,0.0007497072,0.04879412,0.09203723,0.0012184381,0.00030070543,,,,
0.5,0.077687114,0.15468527,0.00026243925,0.0021637082,0.0020305514,0.0052885413,0.0034161806,0.0067926645,0.0054364204,0.00713706,0.0062913895,0.0064599514,0.04034378,0.080329776,-0.00012588501,0.0009691715,0.0013077855,0.003124714,0.0020088553,0.0042286515,0.0032439232,0.0045917034,0.0038756132,0.003902197,,,,,,,,,,,,,0.07743843,0.15383399,0.00628978,0.0054132342,0.039672974,0.07881167,0.003978312,0.003105998,,,,,0.08206831,0.15791027,0.0010370612,0.00060224533,0.04155033,0.07994833,0.0003581047,0.0001437068,,,,
0.75,0.07769177,0.1578769,-0.00011587143,0.0016958714,0.0017892718,0.0044696927,0.0029510856,0.0056943297,0.004609525,0.006077945,0.005324006,0.005555153,0.03704398,0.07527681,-0.00016772747,0.0007407665,0.0009807348,0.0021759868,0.0014284253,0.0030192733,0.002292335,0.003460765,0.0028137565,0.0030489564,,,,,,,,,,,,,0.077443615,0.15700202,0.0048334002,0.004205227,0.036519464,0.07403618,0.0035498738,0.0025761724,,,,,0.08384726,0.16456927,0.0013843775,0.0007687807,0.03884112,0.07623451,0.000105917454,3.5703182e-05,,,,
1.0,0.08083206,0.16759096,0.0001578927,0.0018839836,0.001781106,0.0042806864,0.0028785467,0.0054166913,0.004430115,0.005905628,0.0050947666,0.005354047,0.03664969,0.075986646,-0.00015091896,0.0006541014,0.00085282326,0.001773715,0.0011867881,0.002485156,0.0018800497,0.002924621,0.0023171902,0.0025951266,0.07006908,0.14527585,-0.00028562546,0.000993669,0.001345396,0.0029534698,0.0019631386,0.004178822,0.0031482577,0.0050970316,0.0038937926,0.0046181083,0.08057425,0.16667391,0.0052027702,0.0045924187,0.036314283,0.07511883,0.0017528534,0.0019401908,0.070041135,0.14488536,0.0037744641,0.003441453,0.0866395,0.17352407,0.0013495088,0.00088846684,0.03977235,0.0796572,0.00066399574,0.00023704767,0.07318277,0.14657255,0.0015186071,0.00085425377
1.25,0.08536079,0.18050592,4.351139e-05,0.0019034147,0.0018667579,0.004364431,0.0029674172,0.0055538416,0.00452435,0.006162286,0.005238354,0.0055643916,0.038568612,0.081558086,-0.0003951788,0.0004580617,0.0008109212,0.0016048551,0.0010929108,0.0022465587,0.0016956329,0.0026878119,0.0021075606,0.0024214983,0.07795703,0.16484974,0.00028800964,0.001513958,0.0014364123,0.0031936765,0.0021035075,0.0046064258,0.0034295917,0.0057438016,0.004297197,0.0052810907,0.08505154,0.17947578,0.005315602,0.0048520565,0.03841566,0.08106474,0.002114892,0.00186342,0.077943854,0.16447715,0.0048764944,0.004627645,0.09039563,0.1848287,0.001175344,0.0010460019,0.04260218,0.08710715,-7.8082085e-05,0.00012856722,0.08205092,0.16776657,0.0016567111,0.0010014772
1.5,0.090649575,0.19543095,-0.0007662773,0.0014716387,0.002054274,0.004711449,0.0032325983,0.0060471892,0.004922807,0.006854832,0.0057403445,0.0061508417,0.042427074,0.091468304,-0.00063586235,0.0003169179,0.00083744526,0.0016221404,0.0011174083,0.0022786856,0.0017220378,0.0027444363,0.0021371245,0.002517283,0.08095228,0.17452459,0.00015956163,0.0015136003,0.0015477538,0.0035009384,0.0022892952,0.0050981045,0.0037763119,0.006363988,0.0047510266,0.005793214,0.090355076,0.1944277,0.005106747,0.004822731,0.042374283,0.091181755,0.0020821095,0.0019903183,0.08106178,0.17443022,0.0047442913,0.0048318505,0.09513751,0.19852963,0.0016656518,0.001300931,0.047329243,0.09876501,0.0009249449,0.00047761202,0.085652895,0.17873746,0.0025723577,0.0014667511
1.75,0.09646114,0.21193843,0.000687778,0.0026715994,0.002322793,0.0053093433,0.0036364794,0.0069034696,0.005587578,0.007973015,0.006587863,0.0072096586,0.04823176,0.10597182,-5.1617622e-05,0.0008147359,0.00094658136,0.0018500686,0.0012735128,0.0026206374,0.00198251,0.0031877756,0.0024629235,0.0029647946,0.07904678,0.17367667,-1.7404556e-05,0.0013251305,0.0015675426,0.0035098195,0.0023082495,0.0050943494,0.0038003325,0.0063658953,0.0047748685,0.0058336854,0.096255735,0.21112888,0.006925583,0.006113589,0.048267517,0.10587075,0.00092834234,0.0017971396,0.0792327,0.17379028,0.004835129,0.004805565,0.10053327,0.21401428,0.0026047826,0.0017334223,0.053219605,0.113293394,0.0013993382,0.0006710291,0.08354556,0.177851,0.003196478,0.0016094446
2.0,0.10435518,0.23357868,0.00029671192,0.0027515888,0.0029657483,0.00767076,0.004932523,0.010790825,0.0082915425,0.0133398175,0.010297835,0.012567759,0.09216178,0.20628615,0.0019171834,0.005454004,0.0053485036,0.01199466,0.008160114,0.015538812,0.012244225,0.015684962,0.013599098,0.0123746395,0.07757111,0.17362778,0.00017297268,0.0013302565,0.0015105009,0.0032734275,0.0021762252,0.004693866,0.003497541,0.0057289004,0.004324913,0.005207598,0.10455836,0.23370357,0.010638654,0.010542393,0.09171587,0.20499867,0.01369369,0.009648502,0.077645205,0.17354864,0.004441023,0.0043601394,0.109058104,0.23686968,0.004161358,0.0021857023,0.10331673,0.22439966,0.0043826103,0.002328992,0.08141254,0.17682466,0.0022138953,0.00128299
2.25,0.09968498,0.22722009,0.0008401871,0.003084004,0.0028953552,0.007304549,0.0047626495,0.010104001,0.007846475,0.012314737,0.009593844,0.011448443,0.08386655,0.19116385,0.001013577,0.0030927062,0.0031251311,0.0074837804,0.0048467517,0.010413229,0.007838666,0.011244535,0.0091995,0.009048641,0.08824673,0.20114796,0.00032407045,0.0016751885,0.0019032955,0.0042695403,0.0028133988,0.0061650276,0.004594207,0.0076190233,0.0057113767,0.0069886446,0.099733226,0.22707658,0.010692179,0.010095,0.08355858,0.1902495,0.00952369,0.007456243,0.088320665,0.201092,0.006384492,0.006225109,0.10468401,0.23193099,0.003658712,0.0020102262,0.09440735,0.2091627,0.0032570958,0.0017774105,0.0935618,0.20728934,0.0027793646,0.0016531348
