Time,UHR_MAER_EnKF,UHR_MAE_EnKF,UHR_SSIMLoss_EnKF_Gauss_11,UHR_SSIMLoss_EnKF_Rect_11,UHR_SSIMLoss_EnKF_Gauss_21,UHR_SSIMLoss_EnKF_Rect_21,UHR_SSIMLoss_EnKF_Gauss_31,UHR_SSIMLoss_EnKF_Rect_31,UHR_SSIMLoss_EnKF_Gauss_51,UHR_SSIMLoss_EnKF_Rect_51,UHR_SSIMLoss_EnKF_Gauss_71,UHR_SSIMLoss_EnKF_Rect_71,UHR_MAER_EnKF(HR),UHR_MAE_EnKF(HR),UHR_SSIMLoss_EnKF(HR)_Gauss_11,UHR_SSIMLoss_EnKF(HR)_Rect_11,UHR_SSIMLoss_EnKF(HR)_Gauss_21,UHR_SSIMLoss_EnKF(HR)_Rect_21,UHR_SSIMLoss_EnKF(HR)_Gauss_31,UHR_SSIMLoss_EnKF(HR)_Rect_31,UHR_SSIMLoss_EnKF(HR)_Gauss_51,UHR_SSIMLoss_EnKF(HR)_Rect_51,UHR_SSIMLoss_EnKF(HR)_Gauss_71,UHR_SSIMLoss_EnKF(HR)_Rect_71,UHR_MAER_SRDA,UHR_MAE_SRDA,UHR_SSIMLoss_SRDA_Gauss_11,UHR_SSIMLoss_SRDA_Rect_11,UHR_SSIMLoss_SRDA_Gauss_21,UHR_SSIMLoss_SRDA_Rect_21,UHR_SSIMLoss_SRDA_Gauss_31,UHR_SSIMLoss_SRDA_Rect_31,UHR_SSIMLoss_SRDA_Gauss_51,UHR_SSIMLoss_SRDA_Rect_51,UHR_SSIMLoss_SRDA_Gauss_71,UHR_SSIMLoss_SRDA_Rect_71,HR_MAER_EnKF,HR_MAE_EnKF,HR_SSIMLoss_EnKF_Gauss_11,HR_SSIMLoss_EnKF_Rect_11,HR_MAER_EnKF(HR),HR_MAE_EnKF(HR),HR_SSIMLoss_EnKF(HR)_Gauss_11,HR_SSIMLoss_EnKF(HR)_Rect_11,HR_MAER_SRDA,HR_MAE_SRDA,HR_SSIMLoss_SRDA_Gauss_11,HR_SSIMLoss_SRDA_Rect_11,LR_MAER_EnKF,LR_MAE_EnKF,LR_SSIMLoss_EnKF_Gauss_11,LR_SSIMLoss_EnKF_Rect_11,LR_MAER_EnKF(HR),LR_MAE_EnKF(HR),LR_SSIMLoss_EnKF(HR)_Gauss_11,LR_SSIMLoss_EnKF(HR)_Rect_11,LR_MAER_SRDA,LR_MAE_SRDA,LR_SSIMLoss_SRDA_Gauss_11,LR_SSIMLoss_SRDA_Rect_11
0.0,0.25855526,0.5341073,0.27270496,0.27989447,0.294801,0.279791,0.28787208,0.250363,0.25671947,0.19783175,0.22393262,0.15517384,0.25096196,0.51842153,0.27296156,0.2809397,0.29588544,0.2823714,0.28967547,0.2528289,0.25916338,0.1984945,0.22598034,0.15415943,,,,,,,,,,,,,0.2636736,0.5445692,0.20417708,0.12634182,0.25730887,0.531424,0.20699453,0.12582386,,,,,0.27050066,0.5480038,0.023277283,0.0081833005,0.26244664,0.53168726,0.022196174,0.0076135993,,,,
0.25,0.081859246,0.15971315,0.0007659793,0.0030730963,0.002790928,0.0074171424,0.004752636,0.009429157,0.007576883,0.009723306,0.008675098,0.008725524,0.047041062,0.091780424,0.0006878972,0.0022364259,0.0021387339,0.0053759813,0.0034521222,0.006912172,0.0054517984,0.0069366693,0.0062128305,0.0057884455,,,,,,,,,,,,,0.08170274,0.15905482,0.009426057,0.0076732635,0.046278533,0.09009274,0.0069494247,0.0048955083,,,,,0.08481395,0.15991096,0.0023138523,0.0009711981,0.049662814,0.09363587,0.00020080805,6.920099e-05,,,,
0.5,0.07749601,0.15428989,0.00030601025,0.0021434426,0.0020003319,0.0052419305,0.00337106,0.0067807436,0.0053960085,0.0072021484,0.0062767863,0.00651896,0.038736496,0.07712203,-0.0002360344,0.0008106828,0.001222372,0.002910614,0.0018697381,0.003957391,0.003012836,0.0043219924,0.0035871863,0.0036889315,,,,,,,,,,,,,0.077270314,0.15349129,0.008108735,0.006523967,0.037988074,0.07546027,0.0046646,0.0036250353,,,,,0.08312505,0.15999426,0.0008791685,0.0006130338,0.041867305,0.08058375,0.0009864569,0.00030362606,,,,
0.75,0.07790521,0.15829137,1.1920929e-06,0.0017208457,0.001781106,0.0044652224,0.002937317,0.0057126284,0.0046005845,0.006143868,0.0053247213,0.0056147575,0.035879485,0.072901584,-0.0002872944,0.0005839467,0.00092965364,0.0020301938,0.0013403893,0.0028043985,0.0021175146,0.003175199,0.0025697947,0.0028132796,,,,,,,,,,,,,0.07766404,0.15744409,0.005525112,0.0047269464,0.035449225,0.07186429,0.00030189753,0.0008404255,,,,,0.0849447,0.16676915,0.0016551018,0.0009191036,0.03899976,0.07656695,0.00080895424,0.00028699636,,,,
1.0,0.08841284,0.18328507,0.00016266108,0.002004087,0.0020741224,0.005333841,0.003457129,0.0071637034,0.005625844,0.008473992,0.006786108,0.008033574,0.06815076,0.14128056,0.0003938079,0.001529336,0.0015940666,0.0036253333,0.0023818016,0.005217254,0.0039560795,0.006507337,0.0050329566,0.006048262,0.03714509,0.07700397,-0.00035858154,0.00060880184,0.00082701445,0.0016313791,0.0011199117,0.0022019148,0.001691103,0.002503872,0.0020192862,0.002164662,0.08844212,0.18294898,0.008100212,0.007442057,0.06762969,0.13989694,0.006459892,0.0058405995,0.037261993,0.077079155,0.0006763339,0.00095921755,0.09407447,0.18853676,0.001962006,0.0011864901,0.06999149,0.14027153,0.0018939972,0.000838995,0.042048566,0.08427048,0.0005506873,0.00026476383
1.25,0.08793375,0.18592328,0.00015598536,0.002052486,0.0020594597,0.005128503,0.003379643,0.006845951,0.005409777,0.008075893,0.0064843297,0.007668674,0.06612572,0.13981333,0.0003027916,0.0014001131,0.0014818311,0.0033097863,0.0021892786,0.0047712326,0.0036208034,0.005943358,0.00460279,0.0055437684,0.039540417,0.08360253,6.2823296e-05,0.000941813,0.0008454323,0.0016601682,0.0011391044,0.0022942424,0.0017382503,0.0027111769,0.002118051,0.0023713112,0.08786121,0.18539846,0.0063306093,0.006777942,0.065557025,0.13833375,0.005759597,0.0054344535,0.039576262,0.083511,0.0034834743,0.002557695,0.093671896,0.19159298,0.0019017458,0.0012130737,0.06748244,0.13802606,0.0012363195,0.0006104708,0.04502871,0.09210003,0.0002859831,0.00023496151
1.5,0.09263576,0.19968799,-0.00021135807,0.0019217134,0.002248764,0.0054689646,0.0036436915,0.007302642,0.005792856,0.008704722,0.0069565177,0.0081502795,0.07057579,0.15213495,0.00031858683,0.0015207529,0.0015763044,0.0035297275,0.0023305416,0.0050858855,0.0038615465,0.006334543,0.0048905015,0.005908966,0.045220274,0.09747797,-0.00044834614,0.0005840659,0.00095146894,0.001912415,0.0013044477,0.0027099252,0.0020356178,0.0032491088,0.0025016665,0.0028604865,0.092606105,0.19926916,0.009079814,0.007685244,0.07010835,0.15085866,0.00432986,0.0046753883,0.04521285,0.09728869,0.003143549,0.0027914047,0.09821355,0.20503673,0.002737403,0.0016661286,0.07275465,0.15188713,0.0018586516,0.0009281039,0.05079912,0.10605141,0.0012119412,0.0005784631
1.75,0.101724535,0.22347333,0.0004924536,0.0026977062,0.0026851296,0.0064381957,0.0043107867,0.008689523,0.006882131,0.0105214715,0.008342445,0.009838223,0.07801747,0.17139252,0.00045508146,0.0017413497,0.0018615127,0.0042601824,0.002796948,0.0061787963,0.00466758,0.0076725483,0.0059047937,0.007091701,0.05003682,0.10992329,-0.00012409687,0.00086921453,0.0011126399,0.0023605824,0.001577735,0.0033983588,0.0025370717,0.0041018724,0.0031349063,0.0035706162,0.10157583,0.22281191,0.008184135,0.007891357,0.077567995,0.17014946,0.0054484606,0.0055511594,0.049905024,0.109469295,0.0007470846,0.001938343,0.106369,0.22664304,0.0034355521,0.0021490455,0.08089573,0.1723665,0.0025402308,0.0013403893,0.056025047,0.11937394,0.00096321106,0.0005802512
2.0,0.117703155,0.26341897,0.00071561337,0.0033435822,0.003474176,0.008610308,0.0056587458,0.011969805,0.009312332,0.014747322,0.0114972,0.013714373,0.098244265,0.21987009,0.00091063976,0.0024805665,0.0024439096,0.0057855844,0.0037311316,0.008521616,0.006332636,0.010576844,0.0079984665,0.009648323,0.04935903,0.11046522,3.5762787e-06,0.0009306073,0.0009685755,0.001869142,0.001300633,0.0026226044,0.0019859672,0.0031551123,0.002434373,0.0028619766,0.117574774,0.26283136,0.011386573,0.011139512,0.098009534,0.21909444,0.0070488453,0.0076984167,0.049613595,0.11090822,0.0016000867,0.0019797683,0.12409471,0.26988152,0.005234182,0.0031733513,0.103769585,0.22567838,0.0039708614,0.0021958947,0.055182386,0.12001081,0.0008547306,0.000564456
2.25,0.12061846,0.27489477,0.0012090206,0.003939688,0.0037421584,0.009153426,0.0060442686,0.012684703,0.009853423,0.015551269,0.012115896,0.014503419,0.09537757,0.21736968,0.00089126825,0.0023400187,0.002337277,0.005443752,0.0035284758,0.0080058575,0.0059479475,0.009988666,0.007522166,0.009168804,0.060260657,0.13733669,1.1861324e-05,0.001049459,0.0012209415,0.0025507212,0.001719594,0.0036653876,0.0027433634,0.00446254,0.003394723,0.0040053725,0.12045601,0.27433467,0.012293875,0.011992812,0.09509406,0.21657366,0.0071358085,0.0076261163,0.06048612,0.13775519,0.004865885,0.004321158,0.12616904,0.28015438,0.0057914853,0.003606677,0.1000609,0.22218208,0.0042201877,0.0022898316,0.06458566,0.14341043,0.0014669895,0.00087571144
